n,Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
15,TSTALTS002,TSTALTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.45,0.45,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3368944165445, -30.8673913611646)"
1,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.44,0.44,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.308333770879, -30.8542154837864)"
2,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.47,0.47,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3091107417521, -30.8542154837864)"
3,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.44,0.44,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3075568000059, -30.8534385129133)"
4,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.48,0.48,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.308333770879, -30.8534385129133)"
5,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.42,0.42,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3091107417521, -30.8534385129133)"
6,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.47,0.47,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3098877126252, -30.8534385129133)"
7,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.47,0.47,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3067798291328, -30.8526615420402)"
8,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.42,0.42,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3075568000059, -30.8526615420402)"
9,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.44,0.44,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.308333770879, -30.8526615420402)"
10,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.48,0.48,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3091107417521, -30.8526615420402)"
11,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.44,0.44,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3098877126252, -30.8526615420402)"
12,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.43,0.43,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3106646834983, -30.8526615420402)"
13,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.48,0.48,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3075568000059, -30.8518845711671)"
14,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.46,0.46,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.308333770879, -30.8518845711671)"
15,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.45,0.45,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3091107417521, -30.8518845711671)"
16,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.46,0.46,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3098877126252, -30.8518845711671)"
17,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.46,0.46,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.308333770879, -30.851107600294)"
18,TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.43,0.43,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3091107417521, -30.851107600294)"
1,TSTAUTS002,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.41,0.41,765,13.7,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3175184931005, -30.8697556470385)"
2,TSTAUTS002,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0.10000000149011612,0.43,0.43,755,14.3,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3159644352176, -30.868978618097)"
3,TSTAUTS002,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0.10000000149011612,0.43,0.43,765,13.7,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3167414641591, -30.868978618097)"
