n,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
7,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0.6000000238418579,0.39,0.39,778,12.8,36.95469284057617,17.804088592529297,23.155881881713867,"c(28.313042161586, -30.8164829640049)"
8,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0.10000000149011612,0.37,0.37,752,13.8,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.289838613389, -30.8432751877772)"
9,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0.20000000298023224,0.4,0.4,741,14,36.95469284057617,17.804088592529297,23.155881881713867,"c(28.25167262592, -30.8306538640835)"
10,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0.4000000059604645,0.4,0.4,782,12.5,36.95469284057617,17.804088592529297,23.155881881713867,"c(28.2783495491037, -30.8108948820129)"
11,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.41,0.41,750,15.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3455292070832, -30.8463461296826)"
12,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0.20000000298023224,0.4,0.4,743,13.9,NA,NA,NA,"c(28.246280364167, -30.8330619365534)"
13,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.45,0.45,749,15.2,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3183991451865, -30.8653435195336)"
14,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.41,0.41,759,13.8,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3065152092262, -30.8626266011456)"
15,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.45,0.45,765,13.7,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3203492288539, -30.8681055227807)"
16,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0.30000001192092896,0.41,0.41,751,13.4,36.95469284057617,17.804088592529297,23.155881881713867,"c(28.2546464165834, -30.8249297738541)"
